,datetime,source,MW
766,2016-11-05 22:51:18,Both,0.25
767,2016-11-05 22:55:36,Both,0.27
768,2016-11-05 23:24:28,Both,0.55
769,2016-11-05 23:27:29,Both,0.48
770,2016-11-05 23:35:27,Both,0.46
771,2016-11-06 00:00:25,Both,0.36
772,2016-11-06 00:03:34,Both,0.42
773,2016-11-06 00:15:27,Both,0.24
774,2016-11-06 00:23:12,Both,0.44
775,2016-11-06 00:37:27,Both,0.43
776,2016-11-06 00:42:52,Both,0.66
777,2016-11-06 00:50:38,Both,0.18
778,2016-11-06 00:52:16,Both,0.44
779,2016-11-06 00:55:58,Both,0.22
780,2016-11-06 01:02:59,Both,0.24
781,2016-11-06 01:17:21,Both,0.15
782,2016-11-06 01:39:08,Both,0.21
783,2016-11-06 01:52:19,Both,0.48
784,2016-11-06 01:57:58,Both,0.54
785,2016-11-06 02:08:17,Both,0.23
786,2016-11-06 02:10:28,Both,0.19
787,2016-11-06 02:11:58,Both,0.44
788,2016-11-06 02:32:55,Both,0.17
789,2016-11-06 02:33:27,Both,0.18
790,2016-11-06 02:34:00,Both,0.71
791,2016-11-06 02:50:43,Both,0.27
792,2016-11-06 03:18:20,Both,0.55
793,2016-11-06 03:30:01,Both,0.3
794,2016-11-06 03:44:39,Both,0.35
795,2016-11-06 03:57:03,Both,0.14
796,2016-11-06 04:11:46,Both,0.24
797,2016-11-06 04:35:15,Both,0.42
798,2016-11-06 04:46:10,Both,0.64
799,2016-11-06 04:59:42,Both,0.24
800,2016-11-06 05:14:41,Both,-0.05
801,2016-11-06 05:27:00,Both,0.12
802,2016-11-06 05:28:44,Both,0.36
803,2016-11-06 05:28:48,Both,0.25
804,2016-11-06 05:48:23,Both,0.33
805,2016-11-06 05:55:16,Both,0.31
806,2016-11-06 06:13:13,Both,0.42
807,2016-11-06 06:13:19,Both,0.32
808,2016-11-06 06:14:34,Both,0.25
809,2016-11-06 06:27:59,Both,0.16
810,2016-11-06 06:35:00,Both,0.09
811,2016-11-06 06:47:04,Both,0.36
812,2016-11-06 06:47:47,Both,0.22
813,2016-11-06 06:56:41,Both,0.15
814,2016-11-06 07:46:38,Both,0.32
815,2016-11-06 08:00:45,Both,0.17
816,2016-11-06 09:42:07,Both,0.15
817,2016-11-06 09:57:33,Both,0.32
818,2016-11-06 10:28:32,Both,0.11
819,2016-11-06 11:04:31,Both,0.3
820,2016-11-06 11:05:30,Both,0.44
821,2016-11-06 12:10:18,Both,-0.02
822,2016-11-06 14:48:37,Both,-0.06
823,2016-11-06 14:49:30,Both,0.34
824,2016-11-06 15:21:25,Both,-0.08
825,2016-11-06 15:41:01,Both,0.16
826,2016-11-06 17:00:38,Both,0.0
827,2016-11-06 18:04:32,Both,0.23
828,2016-11-06 18:38:33,Both,0.48
829,2016-11-06 19:09:46,Both,-0.05
830,2016-11-06 20:22:55,Both,0.34
831,2016-11-06 21:38:38,Both,-0.18
832,2016-11-06 22:12:54,Both,-0.17
833,2016-11-06 23:33:31,Both,0.47
834,2016-11-06 23:59:29,Both,0.19
835,2016-11-07 00:08:39,Both,-0.07
836,2016-11-07 01:47:00,Both,0.23
837,2016-11-07 03:21:45,Both,0.01
838,2016-11-07 03:35:46,Both,0.14
839,2016-11-07 03:36:04,Both,0.13
840,2016-11-07 04:37:50,Both,0.18
841,2016-11-07 04:55:56,Both,0.12
842,2016-11-07 05:13:13,Both,-0.19
843,2016-11-07 05:26:08,Both,0.05
844,2016-11-07 07:15:13,Both,-0.14
845,2016-11-07 07:15:22,Both,-0.11
846,2016-11-07 07:15:43,Both,-0.1
847,2016-11-07 07:25:14,Both,0.2
848,2016-11-07 08:27:33,Both,0.34
849,2016-11-07 08:29:23,Both,-0.05
850,2016-11-07 09:44:10,Both,0.2
851,2016-11-07 10:45:22,Both,0.62
852,2016-11-07 10:48:46,Both,0.23
853,2016-11-07 11:05:52,Both,0.65
854,2016-11-07 11:26:28,Both,0.66
855,2016-11-07 11:50:41,Both,0.37
856,2016-11-07 11:56:57,Both,0.07
857,2016-11-07 12:49:58,Both,1.07
858,2016-11-07 13:45:07,Both,1.0
859,2016-11-07 14:07:24,Both,-0.07
860,2016-11-07 14:19:11,Both,-0.17
861,2016-11-07 14:21:38,Both,-0.03
862,2016-11-07 14:22:27,Both,0.13
863,2016-11-07 14:31:08,Both,-0.07
864,2016-11-07 15:08:10,Both,0.33
865,2016-11-07 15:12:54,Both,-0.05
866,2016-11-07 15:14:27,Both,0.01
867,2016-11-07 15:35:56,Both,-0.01
868,2016-11-07 15:50:39,Both,-0.17
869,2016-11-07 15:51:46,Both,-0.19
870,2016-11-07 16:09:10,Both,0.95
871,2016-11-07 17:01:11,Both,-0.1
872,2016-11-07 17:13:08,Both,0.26
873,2016-11-07 17:58:27,Both,-0.05
874,2016-11-07 17:58:41,Both,-0.17
875,2016-11-07 19:02:11,Both,0.8
